제목,내용
"KCM, &quot;최악의 K-<b>패션</b>? 멋있다고 생각&quot;…여전한 팔토시 사랑 (&apos;썰바이벌&apos;)[종합...","
트레이드 마크 '팔 토시'""이 패션이 멋있다고 생각""믿었던 형에게 배신당한 충격 썰[텐아시아=서예진 기자] 
사진제공=KBS Joy '썰바이벌'24일 방송된 KBS Joy '썰바이벌'에는 가수 KCM이 출연했다. 이날 방송은 '상상도 못한 정체'라는 주제로 진행된 가운데, 키워드 '순정'과 '공감 능력'이 팽팽한 접전을 펼쳤다.  KCM은 자신의 트레이드 마크인 팔 토시를 하고 등장했다. 이에 MC들은 ""이미 끝난 패션 아니냐"", ""최악의 K-패션이 될 줄 알고 있었냐"" 등 패션에 대해 지적했다.  KCM이 입고 나온 옷이나 장신구가 '여자들이 싫어하는 남자 패션'이라는 게시물이 온라인 커뮤니티를 중심으로 유행한 적이 있다. 빈티지 비니 모자, 암워머, 조끼, 밀리터리 바지 등 KCM이 모두 즐겨 착용하던 아이템이다. 하지만 KCM은 ""이 패션이 멋있다고 생각했다. (팔 토시를)하지 않으면 뭔가 허전하고 힘이 빠진다""며 여전한 팔 토시 사랑을 인증했다. 3MC와 KCM을  고민에 빠트린 레전 썰 후보 '순정'은 자궁경부암에 걸린 주인공의 곁에 사랑이 아닌 돈 때문에 남아 있었던 남자친구의 썰이었다. 주인공은 곧 죽을 줄 알고 자신의 곁에 있던 남자친구가 무서워 도망쳤지만, 가슴 속 상처는 여전했다. '순정'을 선택한 KCM은 믿었던 형에게 사기를 당한 썰을 풀어 놓으며 ""전 재산을 그 형에게 다 줬다. 상처는 사라지지 않는다""고 말해 안타까움을 자아냈다. 또 다른 레전 썰 후보 '공감 능력'은 친구의 장례식에 가지 않고, 아들이 교통사고를 당해 수술을 하고 있는 상황에서 아들의 생일선물인 자전거를 환불하기 위해 자리를 비운 남편의 이야기였다. 보통 사람보다 공감 능력이 부족한 남편 때문에 정신과 상담을 받고 싶은 심각한 상황이었다. 이 키워드를 선택한 황보라는 ""평생 짊어지고 갈 수도 있는 짐""이라며 뜻을 굽히지 않았다. MC들과 KCM은 '순정'과 '공감 능력' 키워드로 2차 투표까지 진행 했지만 의견은 좁혀지지 않았고, 결국 시청자 투표를 결정했다. 소재 불문, 장르 불문 다양한 주제로 자유롭게 의견을 나누는 신개념 토크쇼 '썰바이벌'은 매주 목요일 밤 8시 30분 KBS Joy에서 방송된다.서예진 텐아시아 기자 yejin@tenasia.co.kr
			"
진주 목걸이·네일아트...‘<b>남자</b> 그루밍’ 대세,"

개성존중 젠더리스 시장 급팽창올리브영 남성매출 연 20%씩↑색조·헤어 등 뷰티 시장 확대



진주 목걸이를 걸고 있는 그룹 방탄소년단 멤버 지민(왼쪽부터)과 네일 아트를 한 그룹 엑소 멤버 카이, 트위드 재킷을 입은 박서준 [보그코리아·마리끌레르 코리아·샤넬 제공]진주 목걸이를 두른 그룹 방탄소년단(BTS) 멤버 지민, 네일아트를 한 그룹 엑소(EXO) 멤버 카이, 트위드 재킷을 입은 배우 박서준....더 이상 낯설지 않다. 패션·뷰티업계에서 남녀의 성 고정관념이 빠르게 무너지고 있기 때문이다. 남녀의 성별 구분에서 벗어나 개인의 개성을 존중하는 ‘젠더리스(genderless)’ 시장이 갈수록 커지고 있다. 성별 특징이 따로 없다고 해서 ‘젠더 뉴트럴(gender neutral)’이라고도 불린다.23일 CJ올리브영에 따르면 최근 3년간(2020~2022년) 남성 고객 구매액은 연평균 20% 이상 증가했다. 올리브영 관계자는 “자신을 위해 외모 관리 등에 투자하는 남성이 늘면서 기초 화장품을 넘어 색조, 헤어, 바디 등의 카테고리로 남성 뷰티 시장이 확대되는 추세”라고 설명했다.최근 한 달간(2월 11일~3월 10일) 남성 베이스 메이크업 카테고리 매출은 전년에 비해 113% 늘었다. 같은 기간 아이 메이크업 카테고리 매출도 34% 증가했다.같은 기간 위메프에 따르면 남성 메이크업 카테고리 매출은 57% 늘었다. 특히 베이스 제품만이 아닌, 색조 상품 매출 신장률이 두드러졌다. 실제로 아이브로우 매출은 1127.1%나 뛰었다. ▷비비크림(109.2%) ▷파운데이션(66.5%) ▷선크림(40.7%) 등도 많이 팔렸다. 남성 향수 카테고리 매출도 20.2% 늘었다.이 같은 흐름은 패션 매거진 화보에서도 엿볼 수 있다. 명품 뷰티 브랜드 입생로랑의 ‘마리끌레르 코리아’ 3월호 화보에는 쿠션 파운데이션 홍보 모델로 그룹 엑소 멤버 카이가 등장한다. 파운데이션을 쥔 카이의 손톱에는 검은색 네일아트도 그려져 있다. 자유로우면서도 세련된 분위기를 연출한 그가 남성이라는 점은 사뭇 과거와 다른 양상이다.‘보그코리아’ 3월호 화보에서도 우아함의 상징인 진주를 실버 체인과 조합해 착용한 그룹 방탄소년단 멤버 지민을 볼 수 있다. 더 이상 어머니의 보석이라 치부하기에는 2010년 후반 들어 진주는 너무나도 핫한 아이템이 됐다. 지민은 이달 초 미국 명품 보석업체 티파니앤코의 홍보대사로 선정됐다. 걸그룹 블랙핑크 멤버 로제에 이은 두 번째 한국인 홍보대사다.패션·뷰티업계는 최근 여성과 남성의 차이를 구분짓지 않는 ‘성 중립 제품’을 판매하고 있다. 나이키는 지난해 7월 서울 마포구 홍대입구역 인근에 세계 최초로 ‘나이키 스타일’ 매장을 열면서 의류를 성별로 따로 구분해 걸어두지 않는 젠더리스 매장을 표방했다. 나이키 관계자는 “옷을 볼 때 남성복이냐 여성복이냐를 따지기보다는 자신의 몸에 잘 맞는지를 중시하는 트렌드를 겨냥했다”고 했다.유통업계 관계자는 “메이크업이나 주얼리 등이 단순히 예쁘게만 보이도록 하는 게 아니라 자신을 표현하는 하나의 아이템이 됐다”며 “남성도 명품 시계나 옷처럼 자신을 드러내는 하나의 ‘장치’로 받아들이고 있다”고 말했다.이정아 기자

"
"윤두준, 성숙한 <b>남자</b> 눈빛 [화보]","
 
 
 
 
그룹 하이라이트(highlight) 리더 윤두준이 화보를 공개했다. 화보는 따뜻한 봄날 LA에서 촬영됐다. 윤두준은 배우라는 수식어에 어울리는 눈빛, 포즈, 손짓으로 강렬하고 성숙한 남성의 느낌을 연출했다. 윤두준은 지난해 하이라이트 정규1집 ‘DAYDREAM’(데이드림)과 미니4집 ‘AFTER SUNSET(애프터 선셋) 활동을 성료하고 ENA 드라마 ‘구필수는 없다’, 영화 ‘정직한 후보2’까지 출연했다. ‘방랑자윤두준’ 유튜브를 통해 일상을 공개하고 있다.윤두준의 화보는 남성 패션.라이프 스타일 매거진 에스콰이어 4월호에서 확인할 수 있다.동아닷컴 전효진 기자 jhj@donga.com
"
"NCT 제노, 밀라노 <b>패션</b>위크 달궜다…K-POP 男그룹 최초 초청","
 
[마이데일리 = 강다윤 기자] 그룹 NCT 제노가 밀라노 현지를 매료시켰다.제노는 25일(현지시간) 이탈리아 밀라노에서 열린 페라가모(Ferragamo) 2023 F/W 컬렉션 패션쇼에 K-POP 남자 그룹 멤버로서는 최초로 초청받아 자리를 빛냈다. 
이날 제노는 세일러 칼라가 인상적인 브랜드의 슈트를 갖춰 입고 등장, 고급스러우면서도 유니크한 분위기를 자아내 팬들의 폭발적인 환호성은 물론 현장을 찾은 취재진과 패션 관계자들의 좋은 반응을 이끌었다.특히 제노는 연신 터지는 카메라 플래시에도 흔들림 없이 특유의 단단하고 시크한 눈빛을 드러내며 쇼장 곳곳에 열기를 더했고, 페라가모의 크리에이티브 디렉터 맥시밀리언 데이비스(Maximilian Davis)와 만나 인사를 나눈 후 함께 포토월에서 사진을 찍어 모두를 주목케 했다.무엇보다 제노는 지난해 9월 진행된 보그 창간 130주년 기념 글로벌 이벤트 '보그 월드(VOGUE WORLD)'에 아시아 남자 아티스트로는 유일하게 참석해 화제를 불러 일으킨 바 있다. 
뿐만 아니라 디자이너 브랜드 피터도(Peter Do)의 2023 S/S 컬렉션 '타임(TIME)' 런웨이 쇼에서 런웨이의 오프닝 무대에 오르는 등 패션계에서 꾸준한 활약을 펼쳐 온 바 있어 앞으로의 행보에도 기대가 모인다.[사진 = 페라가모(Ferragamo) 제공](강다윤 기자 k_yo_on@mydaily.co.kr)
"
"BTS 제이홉, NCT 쟈니, 세븐틴 호시, 엑소 카이…<b>패션</b> 아이콘 다 모였네 [스타...","
 
[앳스타일 박승현 기자] 2023년 새로운 시즌을 맞이하기 위해 패션의 성지, 전세계 여러 도시에서 열린 패션쇼에는 각국의 패션 아이콘이 등장해 자리를 빛냈다. 이에 K-POP 열풍과 함께 주목 받고 있는 K-패션의 선두주자인 스타들 역시 공항으로 속속들이 집합했다는 사실. 패션위크로 떠나기 전, 저마다 화려한 룩으로 공항길에 나선 스타들을 모두 모았다.  
 
➊ 보는 이마저 기분 좋게 만드는 싱그러운 미소와 함께 등장한 박은빈. 박은빈은 크고 작은 진주가 장식된 화려한 카디건에 스트레이트 진을 매치해 러블리한 패션을 선보였다. 마이크로 사이즈의 미니 백 역시 캐주얼한 룩에 잘 어울리는 디테일로 박은빈의 상큼한 매력을 더욱 강조한다. 페미닌한 패션을 완벽하게 소화하기 위한 번 헤어 스타일링 역시 사랑스러움을 배가 시킨다. ➋ 보기만 해도 화려한 패턴이 즐비한 이 룩은 제이홉이기에 소화할 수 있었다. 방탄소년단 제이홉은 깜찍한 일러스트가 그려진 니트와 워싱과 패치 디테일이 더해진 데님 팬츠로 화려한 룩을 보여줬다. 여기에 비니와 머플러로 시크한 포인트를 더한 것 역시 눈에 띈다. 화려한 룩에 더한 모노톤 아이템의 조화가 인상적이다.  
 
➌ 웨이션브이 텐은 올블랙의 시크한 룩으로 공항 출국길에 나섰다. 하이넥 형태로 우아한 분위기를 안겨주는 하프 코트와 강렬한 느낌의 부츠가 인상적이다. 금장 디테일로 포인트를 주는 단추가 시크한 룩에 클래식한 분위기를 더했다. ➍ 역시 올블랙으로 독보적인 패션 ‘VIBE’를 선사한 빅뱅 태양. 박시한 스타디움 재킷과 유니크한 패턴이 더해진 팬츠가 패셔너블한 분위기를 자아낸다. 여기에 볼드한 굽의 부츠를 함께 연출해 밋밋함은 ‘1도 없는’ 독보적인 룩을 선보였다. 함께 매치하는 아이템의 디테일만으로도 트렌디한 분위기를 자아낼 수 있는 태양만의 센스만점 스타일링이다.  
➎ 조금은 과한 패션이지만 NCT 쟈니이기에 군더더기 없이 소화할 수 있었던 아이코닉한 슈트 패션. 위, 아래 통일된 소재로 세트업을 맞춘 후 카디건을 크로스로 두른 쟈니의 센스가 돋보인다. 여기에 스니커즈를 매치해 좀 더 가벼운 느낌을 더한 것 역시 눈길을 사로 잡는다. 패션위크로 향하는 패셔니스타에 딱 걸맞는 룩이 아닐까. ➏ ‘귀염 뽀짝’한 패션으로 공항에 나선 방탄소년단 지민. 짧은 기장의 숏 비니와 상큼한 스타디움 재킷의 조화가 사랑스러운 느낌을 자아낸다. 베이식한 핏의 데님 팬츠로 캐주얼한 분위기를 더해 지민만의 패션 센스를 자랑했다. 단조로운 룩으로 보이기 쉽지만 포인트 컬러를 과감히 활용한 스타일링 센스가 돋보인다. ➐ “사람이 어떻게 이렇게 백호?” 세븐틴 호시는 남자다운 멋이 묻어나는 백색의 롱코트와 청순한 터틀넥 그리고 진을 매치해 드레시한 코디를 선보였다. 심심할 수 있는 롱코트 코디에 크로스 백을 더해 포인트를 준 것 역시 눈에 띈다. 블랙 앤 화이트의 시크한 패션을 완벽 소화한 호시의 패셔너블한 분위기가 절로 느껴지는 룩이다. ➑ 김세정은 메탈릭한 무드가 느껴지는 재킷과 스커트와 볼캡으로 스포티하면서도 세련된 패션을 선보였다. 전체적으로 블랙 컬러를 연출한 후에 포인트로 실버 아이템을 함께 매치한 센스가 돋보이는 룩이다. 김세정의 활발한 매력이 십분 강조되는 스타일링이라 하겠다. ➒ 출국길에 나선 세븐틴 정한은 재킷과 스키니 진을 매치한 심플룩을 선보였다. 스트라이프 패턴이 더해진 재킷은 딱 맞는 듯한 핏으로 연출, 정장 특유의 포멀한 느낌을 자아냈다. 여기에 스키니 진과 부츠를 함께 스타일링하여 유니크한 룩을 완성했다. 올 블랙에 더해진 브라운 포인트가 눈길을 사로잡는 룩이다. ➓ 엑소 카이는 아이코닉한 브라운 레더 재킷과 데님 팬츠를 코디해 캐주얼한 공항 패션을 선보였다. 브랜드 특유의 포인트가 더해진 세련된 레더 재킷은 시크하면서도 패셔너블한 분위기를 더하는 것이 특징. 여기에 편안한 무드가 느껴지는 내추럴한 핏의 데님을 더해 남친룩의 정석을 완성했다.
"
"이민호, ‘꽃보다<b>남자</b>’→‘파친코’ 흥행 릴레이…5년 연속 최선호 한류 배우...","
				
				
				배우 이민호가 ‘2023년 해외 한류 실태 조사(2022년 기준)’ 결과 압도적으로 1위를 차지했다. 5년 연속 정상에 오른 것. 
 
지난 10일 문화체육관광부는 한국문화교류진흥원과 함께 해외 주요 국가의 K컬처 콘텐츠 이용 현황과 확산 수준을 확인하기 위한 ‘해외 한류 실태 조사’결과를 발표했다.‘현재 가장 좋아하는 한국 배우는 누구입니까?’라는 주관식 질문에 25,000명의 응답자 중 9.1%가 이민호를 꼽아 공유(2.7%), 현빈(2.4%), 송혜교(2.0%), 이종석(1.5%)과 함께 한국 대표 배우로 이름을 올렸다.2018년 이후 2022년까지 꾸준히 최선호 한류 배우로 1위를 지켜온 이민호는 KBS2 ‘꽃보다 남자’로 한류 스타에 발돋움해 SBS ‘상속자들’, SBS ‘푸른 바다의 전설’, SBS-넷플릭스 ‘더 킹: 영원의 군주’, 애플TV+ ‘파친코’ 등 출연하는 작품마다 국내외에서 큰 사랑을 받았다. 
또한 K-콘텐츠가 강세를 보이는 가운데, 넷플릭스, 애플TV+, 디즈니+, HBO 등 글로벌 OTT를 통해 이민호의 출연 작품이 전 세계 시청자와 만나 지금 이 순간에도 이민호 인기의 상승세는 계속되고 있다.이민호의 글로벌한 인기는 SNS에서도 드러난다. 인스타그램, 유튜브, 페이스북 등 이민호의 SNS 팔로워를 모두 합치면 9,900만 명으로 한국 배우 중 1위다. 지난해 2022 뉴욕 패션위크, 2022 밀라노 패션위크 화제성 1위를 차지한 것 역시 그의 글로벌 인기를 입증한다. 더불어 국내 기업은 물론 글로벌 하이엔드 브랜드 앰버서더 활동과 해외 로컬 브랜드 광고주의 러브콜도 이어져 실로 대단한 이민호의 영향력을 짐작케 한다. 한편, 이민호는 최근 촬영을 마친 드라마 ‘별들에게 물어봐’에서는 우주 여행객이 된 산부인과 의사 ‘공룡’으로, 현재 캐나다 토론토에서 촬영 중인 애플 TV+ ‘파친코’ 시즌2에서는 선자의 인생에 발을 들여 궤적을 바꿔놓는 냉철한 사업가 ‘고한수’로 성실하고 꾸준하게 팬들과 만날 예정이다.
"
“인생은 지그재그” 윤여정 처럼…삐뚤빼뚤로 여심 잡은 이 <b>남자</b> [이코노 인...,"

심준용 카카오스타일 디자인총괄 부사장의 브랜딩 가치 지난해 2월 부임, 지그재그 리브랜딩 프로젝트 이끌어‘라이프스타일’에 초점 맞춰…차별화 포인트는 ‘다양성’



심준용 카카오스타일(지그재그) 크리에이티브 부문장. [사진 신인섭 기자][이코노미스트 김서현 기자] “지그재그의 정체성을 표현하기에 ‘라이프 이즈 직잭’(Life is Zigzag)만한 문구가 없어요. 무한한 콘텐츠 안에서, 이리저리 영감을 주고받으며 자기만의 라이프스타일을 만들어갈 수 있도록 돕는 게 우리 역할이죠.”‘CAUTION(주의)_습관적 회의 금지’라는 문구가 가득 붙어있는 카카오스타일 사옥. 언뜻 둘러봐도 자유분방한 분위기가 물씬 느껴지는 이곳에서 심준용 카카오스타일 디자인 총괄 부사장 겸 크리에이티브 부문장을 만났다. 애플 본사 아트디렉터를 거쳐 구글 본사 크리에이티브 디렉터까지 역임한 그는 지난해 2월 여성 패션 플랫폼 ‘지그재그’의 지휘봉을 잡았다. 심 부사장이 새롭게 색칠해나가는 알록달록 지그재그의 세계는 어떤 모습일까.  새로운 정체성을 ‘발견’한 리브랜딩



지그재그 어플리케이션을 접속하면 가장 처음으로 개인 맞춤형 페이지가 뜬다(왼쪽). 오른쪽 페이지는 리브랜딩 프로젝트를 거쳐 새롭게 신설된 매거진 코너, ‘발견’. [지그재그 어플리케이션 캡쳐]심 부사장이 가장 먼저 한 일은 크리에이티브 DNA 주입이다. 기존보다 5~6배로 커진 크리에이티브 인력과 함께 지그재그는 새로운 아우터를 입은 채 시장에 뛰어들었다. “지그재그는 개발 직군이 60% 이상을 차지하는 IT특화 회사였어요. 앱의 완성도는 높은데 디자인쪽으로는 신경을 많이 쓰지 못한 상태였죠. 버튼을 누르면 이동하는 페이지처럼, 이커머스 화면에서 ‘움직이는 디자인’을 쓰는 경우가 많거든요. 그래서 3D아트, 인터랙션, 모션 그래픽 등 비주얼 언어를 대폭 강화한 거예요.” 심 부사장은 앞서 구글, 애플에서 근무하며 다양한 브랜딩 프로젝트를 이끈 경험이 있다. 음표를 부각한 애플뮤직 로고, 빨간 핀이 박힌 구글지도 아이콘은 모두 심 부사장의 작품이다. 그가 디자인을 비롯한 브랜딩 프로젝트에 남다른 감각을 자랑하는 이유다. “기존에 근무하던 구글, 애플은 유저층이 폭넓은 회사들입니다. 반드시 ‘모두’를 만족시켜야 하는 곳이죠. 지그재그는 ‘20·30세대 여성’이라는 타깃이 명확하고, 장기적으로 발전할 수 있는 시각을 갖춘 버티컬(전문 영역 특화) 패션 플랫폼이라는 점에서 저에게 새로운 시도로 다가왔어요.”새로운 도전을 맞이한 건 심 부사장만이 아니었다. 그가 크리에이티브 부문장으로 부임하면서, 지그재그에 그동안 없던 색을 입히기 시작했다. 로고 색은 핫핑크에서 톤다운된 핑크로 변했고, 브랜드 정체성(BI)도 새롭게 확립했다.“지그재그의 브랜딩 작업은 1년 반 동안 지지부진했어요. 브랜드의 정체성을 명확히 정의하는 것이 중요하다고 생각했고, 기본 3개월은 모든 디자인 작업 없이 정의에 초점을 맞췄죠.”지난 2015년 출범 당시 지그재그는 소비자가 설정한 즐겨찾기를 모아 셀러와 연결해주는 역할에 집중했다. 심 부사장은 “지그재그하면 ‘동대문 쇼핑앱’이라는 이미지가 너무 강했다”며 “브랜드 제품도 키우고, 카테고리별 범위를 더 넓혀서 소비자와의 연결 기능을 ‘확장’하고자 했다”고 설명했다. 



‘발견’ 탭에서 인기를 끌고 있는 콘텐츠,‘대신리뷰’와 ‘주말 뭐 입지’. [지그재그 어플리케이션 캡쳐]심 부사장이 새롭게 구축한 브랜드 정체성은 ‘개인화, 큐레이션, 다양성, 발견’ 4가지에 방점을 뒀다. 특히 변화무쌍한 라이프스타일을 패션에 반영할 수 있도록 전략적인 설계를 이어갔다. 지그재그의 새로운 목표는 ‘영감을 줄 수 있는 큐레이터’가 되는 것이다. 그렇게 야심차게 등장한 것이 바로 매거진 코너, ‘발견’이다.발견은 매거진 형식으로 만들어진 지그재그 앱 내 콘텐츠 전용관이다. 누구나 새로운 아이템과 트렌드를 발견하고 영감을 떠올릴 수 있도록 구성됐다. 지난해 8월 신설된 이후 약 177개 콘텐츠가 업로드됐으며, 오픈 초 대비 이용자들의 체류시간이 2배 가량 늘어났다.특히 인기를 끌었던 건 플랫폼 차원에서 나노 단위로 제품을 사용해보고 비교·분석한 리뷰 콘텐츠다. 제목은 ‘대신리뷰 양털부츠편’으로, 양털부츠의 길이, 모양, 재질뿐만 아니라 착용 후 양말에 털이 얼마나 붙는지까지 치밀하게 분석했다. 그 결과 발행 전 동기 대비 거래액이 300% 증가했다.‘주말 뭐 입지’ 코너도 여러 시행착오를 거쳐 발견 탭의 인기 코너가 되는데 성공했다. 심 부사장은 “마땅히 살 옷이 없더라도 이 탭을 보기 위해 앱에 접속한다는 후기를 봤다”며 “해당 콘텐츠의 경우 초반에는 전시회 위주로 장소를 구성하다가 분위기가 너무 비슷하다는 점을 깨달았고, 이후 놀 만한 나들이 장소를 함께 추천한 점이 인기를 더했다”고 설명했다.브랜드 철학에 녹아든 ‘다양성’…‘라이프 이즈 직잭’



심준용 카카오스타일(지그재그) 크리에이티브 부문장이 카카오프렌즈 캐릭터 ‘라이언’을 껴안고 있는 모습. [사진 신인섭 기자]현재 지그재그에는 1만6000개 이상의 스토어가 입점해있다. 이는 여성 패션 플랫폼 최대 수치로, 심 부사장 역시 지그재그의 가장 차별화된 지점을 ‘다양성’으로 꼽았다.강조하고자 했던 메시지는 모든 라이프스타일에 옳고 그름이 없고, 정답이 존재하지 않는다는 점이다. 2021년 ‘니 맘대로 사세요’라는 문구와 함께 이목을 끌었던 배우 윤여정의 광고와도 일맥상통한다. 



배우 윤여정이 모델로 나선 지그재그 광고. [사진 카카오스타일] 다양성을 추구하는 지그재그의 정체성은 주 타깃층인 ‘여성’을 대하는 태도에도 그대로 녹아있다. ‘여성이 필요한 모든 것이 플랫폼에 있으면 좋겠다’는 것이 심 부사장의 포부다. “여성과 함께 공감하고, 가치를 이해하는 브랜드가 되고 싶어요. 우리나라에 약 2600만명의 여성이 있고, 각각의 삶이 다 다른데 ‘여성스럽다’는 한마디로 묶이는 것이 아이러니하다고 생각했죠.”말로만 ‘여성’을 외치는 것은 아니다. 지난 8일 ‘여성의날’을 기념해 영화감독 변영주, 소설가 이슬아 등 여성 5인에게 ‘여성의 삶’에 대해 묻는 캠페인을 진행했다. 또 여성의 다름을 존중하자는 메시지를 끊임없이 강조하며 브랜드의 장기적 자산을 구축해나가고 있다. 심 부사장은 지그재그를 대표하는 브랜드 슬로건을 ‘라이프 이즈 직잭’(Life is Zigzag)으로 꼽았다. “‘너 자신을 있는 그대로 사랑해’라는 말도 이제는 지치더라고요. 당당하게, 네가 좋아하는 걸 하라는데. 좋아하는 게 뭔지 모르겠다면요?”그래서 지그재그는 무한한 콘텐츠 안에서 자기만의 라이프스타일을 찾아나갈 수 있도록 돕는 역할을 자처한다. 남에 대한 잣대를 함부로 들이밀지 않고, 함께 영감을 주고받으며 나 자신을 있는 그대로 표현할 수 있도록 말이다. 한마디로 삐뚤빼뚤 ‘지그재그’같은 일상을 마음껏 누리라는 의미다.지그재그 앞으로 놓인 과제는 더 정교하게 설계된 ‘개인화’다. 심 부사장은 “현재 1000명이 지그재그에 접속한다고 가정하면, 각 개인에게 뜨는 첫 화면이 모두 다르다”며 “트렌드를 일방적으로 주입하는 느낌보다는 각각의 추천 로직(규칙성)을 짜고 있어, 소비자에게 더 정교하게 다가갈 수 있을 것”이라고 설명했다. 이어 “구글이 지향하는 미래 비전이 변하더라도 세상의 모든 정보를 누구나 접근 가능하게 한다는 미션이 바뀌지 않는 것처럼, ‘콘텐츠와 사용자의 연결을 편리하게 한다’는 지그재그의 본래 미션도 결코 변하지 않을 것”이라고 강조했다.
		
"
"&apos;킬링 로맨스&apos; 이하늬, &apos;우아-섹시&apos; 반전 <b>패션</b> [TF사진관]","
 
배우 이하늬가 24일 서울 광진구 롯데시네마 건대점에서 열린 영화 '킬링 로맨스' 제작보고회에 참석해 포즈를 취하고 있다. /이새롬 기자 
 배우 이하늬가 24일 서울 광진구 롯데시네마 건대점에서 열린 영화 '킬링 로맨스' 제작보고회에 참석해 포즈를 취하고 있다. 
'남자사용설명서' 이원석 감독의 신작 '킬링 로맨스'는 섬나라 재벌 '조나단'(이선균)과 운명적 사랑에 빠져 돌연 은퇴를 선언한 톱스타 '여래'(이하늬)가 팬클럽 3기 출신 사수생 '범우'(공명)를 만나 기상천외한 컴백 작전을 모의하게 되는 이야기를 담은 영화다.  
배우 이하늬와 이선균, 공명, 배유람 등이 출연하며 4월 14일 개봉한다. 
 
사진영상기획부 발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write
"
"&apos;킬링 로맨스&apos; 이하늬, 올블랙 <b>패션</b> 속 &apos;빛나는 미모&apos; [TF사진관]","
 
배우 이하늬가 24일 서울 광진구 롯데시네마 건대점에서 열린 영화 '킬링 로맨스' 제작보고회에 참석하고 있다. /이새롬 기자 
배우 이하늬가 24일 서울 광진구 롯데시네마 건대점에서 열린 영화 '킬링 로맨스' 제작보고회에 참석해 무대 입장을 준비하고 있다.배우 이하늬가 24일 서울 광진구 롯데시네마 건대점에서 열린 영화 '킬링 로맨스' 제작보고회에 참석하고 있다. 
'남자사용설명서' 이원석 감독의 신작 '킬링 로맨스'는 섬나라 재벌 '조나단'(이선균)과 운명적 사랑에 빠져 돌연 은퇴를 선언한 톱스타 '여래'(이하늬)가 팬클럽 3기 출신 사수생 '범우'(공명)를 만나 기상천외한 컴백 작전을 모의하게 되는 이야기를 담은 영화다. 
배우 이하늬와 이선균, 공명, 배유람 등이 출연하며 4월 14일 개봉한다. 
 
사진영상기획부 발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write
"
"박보검, 반바지도 완벽하게 소화하는 <b>남자</b> [Ms숏폼]","
(MHN스포츠 이지숙 기자) 30일 오후 서울 여의도 더현대 서울에서 한 패션브랜드 포토콜 행사가 열렸다.이날 행사에  배우 박보검이 참석했다.
"
"한혜진 &quot;<b>남자</b>친구, 모델 언니들 때문에 촬영장 안 데려가&quot;…왜?","
  
   채널A '결혼 말고 동거' 캡처       모델 겸 방송인 한혜진이 과거 남자친구를 촬영장에 데려가지 않았던 이유로 ‘모델 언니들’을 언급해 관심을 끈다.     6일 오후 방송된 채널A 예능 프로그램 '결혼 말고 동거'에서는 준석, 세미 커플의 동거 일상이 공개된 가운데 모델 세미가 본업에 나섰다.     이날 세미는 ""룩북 촬영이 있다""라며 외출 준비를 했다. 하지만 컨디션이 안 좋아 보이는 세미에게 준석은 데려다주겠다며 ""촬영 가지 말까?""라고 걱정했다.     그러자 세미는 ""일인데 어떻게 안 가냐?""라고 말하며 한숨을 내쉬었다. 영상을 지켜보던 아이키는 준석이 '스윗'하다면서 ""동거하니까 서로 챙겨주는 게 좋은 것 같다""라고 말했다.     한혜진은 ""누가 '촬영 가지 말까?' 이런 얘기 좀 해줬으면 좋겠다""라며 부러워했다.     세미는 룩북 촬영장에 도착하자 스태프들에게 동거남을 소개했다. 이 모습을 목격한 25년 차 톱모델 한혜진이 깜짝 놀랐다. ""우리 때는 상상도 못 하는 일이었다""라면서 과거를 떠올렸다.     그는 ""한국에서 7년 활동하고 뉴욕에 갔다. 거기서는 모델들이 대기하는 소파에 남자친구들이 와 있었다. 누워서 스킨십을 막 하더라. 애인이랑 붙어서 막 그러고 있는 거다""라며 당시 놀랐던 감정을 회상했다.     이에 이용진이 ""누나는 연인이 촬영장에 따라온 적 있었냐?""라고 물었다. 한혜진은 ""없지""라며 단호하게 선을 그었다.     한혜진은 특히 남자친구를 회사 끝나고 촬영장에 안 데려간 이유에 대해서 ""난 (모델) 언니들로부터 내 남자친구를 지켰어야 했거든""이라고 답변해 웃음을 안겼다.     한편 한혜진은 1999년 ‘제2회 서울국제패션컬렉션(SIFAC)’ 모델로 데뷔해 현재 다양한 방송에 출연. 공식 유튜브 채널에 모델과 방송인으로서의 일상을 공유하며 활발한 활동을 펼치고 있다. 
"
